code,product_name,ingredients_text,ingredients_tags,allergens_tags,traces_tags,lang
6111246721261,Fromage Blanc Nature,"Lait de vache pasteurisé, Protéines de lait de vache, Crème de lait de vache, Ferment lactique, Amidon, Epaississant, Sorbate de potassium","['en:cow-s-milk', 'en:dairy', 'en:milk', 'fr:Protéines de lait de vache', 'fr:Crème de lait de vache', 'en:lactic-ferments', 'en:ferment', 'en:microbial-culture', 'en:starch', 'en:thickener', 'en:e202']",['en:milk'],['en:milk'],fr
6111035000430,Sidi Ali,OBD1 999 999 1112606 266963207 mb,['es:OBD1 999 999 1112606 266963207 mb'],[],[],es
6111242100992,Perly,"milk cream, cream, sugar, banana, bacteria","['en:cream', 'en:dairy', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:banana', 'en:fruit', 'en:bacteria']","['en:banana', 'en:milk']",[],en
6111035000058,Eau minérale naturelle,100% mineral water,"['en:mineral-water', 'en:water']",[],[],en
6111035002175,Sidi Ali,"Sodium, Calcium, Magnésium, Potassium, Bicarbonates, Sulfates, Chlorures,","['en:sodium', 'en:minerals', 'en:calcium', 'en:magnesium', 'en:potassium', 'fr:Bicarbonates', 'en:sulfates', 'fr:Chlorures']",[],[],fr
6111266962187,Lait de la ferme jaouda,Lait frais pasteurisé demi écrémé à 15g/l de matière grasse,"['en:milk', 'en:dairy', 'en:fat', 'en:oil-and-fat']",['en:milk'],[],fr
6111242106949,Jben,"lait frais entier, crème, stabilisants, amidon, carraghénane, sel, ferments lactiques
matière grasse 21%","['en:milk', 'en:dairy', 'en:cream', 'en:stabiliser', 'en:starch', 'en:e407', 'en:salt', 'fr:ferments lactiques matière grasse']",['en:milk'],[],fr
3274080005003,isabelle,Eau de source,"['en:spring-water', 'en:water']",['en:none'],['en:none'],fr
7622210449283,Prince,"Céréale 50 % (Farine de blé 34,8 %, farine de blé complet 15,2 %), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5 %, sirop de glucose, amidon de blé, poudres à lever (carbonates d'ammonium, carbonates de sodium), émulsifiant (lécithines de soja), sel, lait écrémé en poudre, perméat de lactosérum (de lait), arômes. Peut contenir œuf.","['en:cereal', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:vegetable-oil', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:fat-reduced-cocoa-powder', 'en:plant', 'en:cocoa', 'en:cocoa-powder', 'en:fat-reduced-cocoa', 'en:glucose-syrup', 'en:monosaccharide', 'en:glucose', 'en:wheat-starch', 'en:starch', 'en:e503', 'en:e500', 'en:soya-lecithin', 'en:e322', 'en:e322i', 'en:salt', 'en:skimmed-milk-powder', 'en:dairy', 'en:milk-powder', 'en:whey-permeate', 'en:whey', 'en:flavouring', 'en:wheat-flour', 'en:flour', 'en:wheat', 'en:cereal-flour', 'en:whole-wheat-flour', 'en:wholemeal-flour', 'en:palm-oil', 'en:palm-oil-and-fat', 'en:colza-oil', 'en:rapeseed-oil']","['en:eggs', 'en:gluten', 'en:milk', 'en:soybeans']",['en:eggs'],fr
6111242101180,uht jaouda 1L,Lait entier,"['en:whole-milk', 'en:dairy', 'en:milk']",['en:milk'],['en:nuts'],fr
6111128000071,Ain Saïss,Eau minérale naturelle,"['en:natural-mineral-water', 'en:water', 'en:mineral-water']",[],[],fr
6111252421568,اكوافينا,ouverture et avant le : Voir bouteille. après مياه مصفاة بتقنية اكوافينا هايدرو - 7 Eau purifiée par la technique Aquafina HydRO-7,"['fr:ouverture et avant le', 'fr:7 Eau purifiée par la technique Aquafina HydRO-7', 'fr:Voir bouteille', 'fr:après مياه مصفاة بتقنية اكوافينا هايدرو']",[],[],ar
6111242100985,,"lait ecremé, créme, ferments lactiques. Matière grasse: 6% Poids net:90g","['en:skimmed-milk', 'en:dairy', 'en:milk', 'en:cream', 'en:lactic-ferments', 'en:ferment', 'en:microbial-culture', 'en:fat', 'en:oil-and-fat', 'fr:Poids net']","['en:milk', 'ar:créme', 'ar:ferments lactiques', 'ar:lait ecremé']",[],ar
6111035000027,6111035000027,"Composition minérale en mg/
Résidu sec à 110°C: 186
12 t S Sodium 26 tCalciumMagnésium9 tiiSulfates 42 i3 t H Chiorures 14Potassium
Bicarbonates 104 i Nitrates","['fr:composition-minerale-en-mg', 'fr:residu-sec-a-110-c', 'fr:186-12-t-s-sodium-26-tcalciummagnesium9-tiisulfates-42-i3-t-h-chiorures-14potassium-bicarbonates-104-i-nitrates']",[],['en:agua'],fr
3760049790214,Pain De Mie Bio,"wheat flour* 44%, water, whole wheat flour* 13%, brown cane sugar*, yeast, rapeseed oil*, apple cider vinegar*, wheat bran*, salt, wheat gluten*, ascorbic acid, possible traces of soy","['en:wheat-flour', 'en:cereal', 'en:flour', 'en:wheat', 'en:cereal-flour', 'en:water', 'en:whole-wheat-flour', 'en:wholemeal-flour', 'en:brown-cane-sugar', 'en:added-sugar', 'en:disaccharide', 'en:sugar', 'en:cane-sugar', 'en:brown-sugar', 'en:yeast', 'en:rapeseed-oil', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:cider-vinegar', 'en:vinegar', 'en:wheat-bran', 'en:salt', 'en:wheat-gluten', 'en:gluten', 'en:e300']",['en:gluten'],['en:soybeans'],en
6111246721278,Cream cheese,"Lait de Vache pasteurisé, Crème fraiche pasteurisée
ferments lactiques, Présure,Sel.","['en:cow-s-milk', 'en:dairy', 'en:milk', 'fr:creme-fraiche-pasteurisee-ferments-lactiques', 'en:rennet', 'en:enzyme', 'en:coagulating-enzyme', 'en:salt']",['en:milk'],[],fr
6111035502828,Eau minéral naturelle,Aïn Atlas EAU MINERALE NATURELLE $5 VOTRE CAFÉ POUR ACCOMPAGNER An Atlas,['fr:Aïn Atlas EAU MINERALE NATURELLE $5 VOTRE CAFÉ POUR ACCOMPAGNER An Atlas'],[],[],fr
3046920029759,Excellence Noir Prodigieux 90% Cacao,"Pâte de cacao, beurre de cacao, cacao maigre, sucre, vanille.","['en:cocoa-paste', 'en:plant', 'en:cocoa', 'en:cocoa-butter', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:vegetable-fat', 'en:fat-reduced-cocoa', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:vanilla']",[],['en:nuts'],fr
5449000054227,Coca-Cola Original Taste,"Water, fructose - glucose syrup, carbon dioxide, colorant: e150d, acid: phosphoric acid, natural flavorings (including caffeine).","['en:water', 'en:glucose-fructose-syrup', 'en:added-sugar', 'en:monosaccharide', 'en:fructose', 'en:glucose', 'en:e290', 'en:e150d', 'en:e338', 'en:natural-flavouring', 'en:flavouring', 'en:caffeine']",[],[],en
6111032009665,,حليب نصف دسم، 15 غ/ل من المواد الدسمة,"['ar:حليب نصف دسم', 'ar:15 غ', 'ar:ل من المواد الدسمة']",['en:milk'],[],en
3329770077003,Skyr nature 0%,Lait écrémé - Lait concentré écrémé - Ferments lactiques.,"['en:skimmed-milk', 'en:dairy', 'en:milk', 'en:lactic-ferments', 'en:ferment', 'en:microbial-culture']",['en:milk'],['en:none'],fr
6111242100206,Le nature,"lait frais entier, poudre de lait écrémé, amidon, ferment lactique sélectionné","['en:milk', 'en:dairy', 'en:skimmed-milk-powder', 'en:milk-powder', 'en:starch', 'en:selected-lactic-ferments', 'en:ferment', 'en:microbial-culture', 'en:lactic-ferments']",['en:milk'],['en:milk'],fr
6111252421582,اكوافينا,Aqua,['en:water'],[],[],ar
3760049798609,Pain de mie grandes tranches Seigle & Graines 500g,"Farine de BLÉ* 41 % , eau, graines de lin brun 6,1 %, graines de lin jaune 6,1 %, graines de tournesol décortiquées 6 %, farine de SEIGLE 5,1 %, gluten de BLÉ, farine d'ORGE maltée torréfiée, levure, extrait de malt d'ORGE, sel, vinaigre, arôme naturel (contient alcool), conservateur : propionate de calcium, jus d'acérola déshydraté. Traces éventuelles de graines de sésame, soja, moutarde et fruits à coque. * Ingrédient issu du commerce équitable français.","['en:wheat-flour', 'en:cereal', 'en:flour', 'en:wheat', 'en:cereal-flour', 'en:water', 'en:brown-flax-seeds', 'en:seed', 'en:flax', 'en:flax-seed', 'en:golden-flax-seeds', 'en:sunflower-seed', 'en:rye-flour', 'en:wheat-gluten', 'en:gluten', 'fr:farine-d-orge-malte-toaste', 'en:barley', 'en:barley-flour', 'en:yeast', 'en:barley-malt-extract', 'en:malt', 'en:malted-barley', 'en:salt', 'en:vinegar', 'en:natural-flavouring', 'en:flavouring', 'en:e282', 'en:acerola', 'en:fruit', 'fr:français']",['en:gluten'],"['en:eggs', 'en:milk', 'en:mustard', 'en:nuts', 'en:sesame-seeds', 'en:soybeans']",fr
3168930010265,cruesly mélange de noix,"_avoine_ complète (32%), _blé_ complet (18%), sirop de glucose, huile de tournesol, sucre, _amandes_ grillées (4,2%), _noisettes_ (4%), oligofructose, _noix de Pécan_ (1,5%), farine de _blé_, farine de riz, _noix du Brésil_ (1%), miel, arômes naturels, antioxydant (tocophérol).","['en:wholemeal-oat', 'en:cereal', 'en:oat', 'en:whole-wheat', 'en:wheat', 'en:glucose-syrup', 'en:added-sugar', 'en:monosaccharide', 'en:glucose', 'en:sunflower-oil', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:vegetable-oil', 'en:sugar', 'en:disaccharide', 'en:roasted-almonds', 'en:nut', 'en:tree-nut', 'en:almond', 'en:hazelnut', 'en:oligofructose', 'en:pecan-nut', 'en:wheat-flour', 'en:flour', 'en:cereal-flour', 'en:rice-flour', 'en:rice', 'en:brazil-nut', 'en:honey', 'en:natural-flavouring', 'en:flavouring', 'en:vitamin-e', 'en:vitamins']","['en:gluten', 'en:nuts', 'fr:avoine']","['en:milk', 'en:sesame-seeds', 'en:soybeans']",fr
6175700,Tartines craquantes au sarrasin imp,Farine de sarrasin.,"['en:buckwheat-flour', 'en:cereal', 'en:flour', 'en:buckwheat']",['en:none'],['en:none'],fr
